index,cid,smiles,hepatotoxicity,score,set
49,2187,CC(C)(C#N)c1cc(C(C)(C)C#N)cc(Cn2cncn2)c1,True,3.0,VALIDATION
50,24872560,CNC(=O)c1c(F)cc(N2C(=S)N(c3cc(C(F)(F)F)c(C#N)nc3)C(=O)C23CCC3)cc1,True,3.0,TRAIN
51,6005,CN1CCc2c3c(ccc2)-c2c(ccc(O)c2O)C[C@H]31,False,3.0,TRAIN
52,11561674,CCOc1c(OC)ccc([C@@H](CS(C)(=O)=O)N2C(=O)c3c(C2=O)c(NC(C)=O)ccc3)c1,False,3.0,TRAIN
53,135413536,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,False,3.0,TRAIN
54,60795,O=C1CCc2c(cc(OCCCCN3CCN(c4c(Cl)c(Cl)ccc4)CC3)cc2)N1,True,3.0,TRAIN
55,9690109,NC(=O)C[S@@](=O)C(c1ccccc1)c1ccccc1,True,3.0,TRAIN
56,68827,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,True,3.0,TRAIN
57,32170,CCCNC(C)C(=O)Nc1c(C(=O)OC)scc1C,False,3.0,TRAIN
58,54670067,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,False,3.0,TRAIN
59,163091,CN1C[C@@H]2c3ccccc3Oc3c(cc(Cl)cc3)[C@H]2C1,True,3.0,TRAIN
60,5460875,NC(=O)CC(N)C(=O)[O-],True,3.0,TRAIN
61,2244,CC(=O)Oc1ccccc1C(=O)O,True,3.0,TRAIN
62,2782115,O=[N+]([O-])c1ccc(-c2csc(CCl)n2)cc1,False,3.0,TRAIN
63,148192,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,True,3.0,TRAIN
64,2249,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,True,3.0,TRAIN
65,54841,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,True,3.0,TRAIN
66,60823,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,True,3.0,TRAIN
67,74989,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,True,3.0,TRAIN
68,174174,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,False,3.0,TRAIN
69,9869929,COc1c(Cl)cc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1,False,3.0,TRAIN
70,9852519,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cc(Cl)c(N2CCC(C(=O)O)CC2)nc1,True,3.0,TRAIN
71,6450551,CNC(=O)c1ccccc1Sc1cc2c(cc1)c(/C=C/c1ccccn1)n[nH]2,True,3.0,TRAIN
72,9444,Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cn1,True,3.0,TRAIN
73,2265,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2c1[nH]cn2,True,3.0,TRAIN
74,5742832,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,True,3.0,TRAIN
75,2284,NCC(CC(=O)O)c1ccc(Cl)cc1,True,3.0,TRAIN
76,64982,O=C(O)[C@H]1O[C@@H](Oc2c(O)c(O)c3c(=O)cc(-c4ccccc4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O,True,3.0,TRAIN
77,124081896,COC(=O)OCOc1c2C(=O)N3CCOC[C@H]3N([C@@H]3c4ccccc4SCc4c3ccc(F)c4F)n2ccc1=O,False,3.0,VALIDATION
78,54585,O=C(O)CCNC(=O)c1ccc(N=Nc2cc(C(=O)O)c(O)cc2)cc1,True,3.0,TRAIN
